dataset,class_key,support,recall,precision,f1
chicks4freeid,Chicks4FreeID_41,3.0,1.0,0.75,0.8571428571428571
chicks4freeid,Chicks4FreeID_42,3.0,0.6666666666666666,1.0,0.8
chicks4freeid,Chicks4FreeID_43,1.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_44,2.0,1.0,0.6666666666666666,0.8
chicks4freeid,Chicks4FreeID_45,1.0,0.0,0.0,0.0
chicks4freeid,Chicks4FreeID_46,2.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_47,3.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_48,3.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_49,4.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_5,4.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_6,4.0,0.75,0.5,0.6
chicks4freeid,Chicks4FreeID_7,4.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_8,5.0,1.0,1.0,1.0
chicks4freeid,Chicks4FreeID_9,5.0,0.8,1.0,0.8888888888888888
czoo,Alex,14.0,1.0,1.0,1.0
czoo,Alexandra,15.0,1.0,1.0,1.0
czoo,Annett,15.0,1.0,1.0,1.0
czoo,Bangolo,22.0,1.0,1.0,1.0
czoo,Corrie,16.0,1.0,1.0,1.0
czoo,Dorien,20.0,1.0,1.0,1.0
czoo,Fifi,21.0,1.0,1.0,1.0
czoo,Fraukje,13.0,1.0,1.0,1.0
czoo,Frodo,14.0,0.9285714285714286,1.0,0.9629629629629629
czoo,Gertrudia,17.0,1.0,1.0,1.0
czoo,Jahaga,19.0,1.0,1.0,1.0
czoo,Kara,18.0,1.0,0.9473684210526315,0.972972972972973
czoo,Kofi,20.0,0.95,1.0,0.9743589743589743
czoo,Lobo,21.0,1.0,1.0,1.0
czoo,Lome,20.0,0.95,0.95,0.95
czoo,Natascha,20.0,1.0,1.0,1.0
czoo,Patrick,16.0,1.0,1.0,1.0
czoo,Pia,20.0,0.95,1.0,0.9743589743589743
czoo,Riet,16.0,1.0,0.9411764705882353,0.9696969696969697
czoo,Robert,18.0,1.0,1.0,1.0
czoo,Sandra,12.0,1.0,1.0,1.0
czoo,Swela,21.0,1.0,1.0,1.0
czoo,Tai,19.0,1.0,0.95,0.9743589743589743
czoo,Ulla,16.0,1.0,1.0,1.0
elpephants,15,2.0,0.0,0.0,0.0
elpephants,24,1.0,0.0,0.0,0.0
elpephants,28,3.0,0.0,0.0,0.0
elpephants,35,3.0,0.6666666666666666,0.5,0.5714285714285714
elpephants,42,3.0,0.3333333333333333,0.25,0.2857142857142857
elpephants,52,2.0,0.0,0.0,0.0
elpephants,90,1.0,0.0,0.0,0.0
elpephants,101,1.0,0.0,0.0,0.0
elpephants,102,2.0,0.0,0.0,0.0
elpephants,134,2.0,0.0,0.0,0.0
elpephants,145,2.0,0.0,0.0,0.0
elpephants,160,2.0,0.0,0.0,0.0
elpephants,165,2.0,0.0,0.0,0.0
elpephants,183,2.0,0.0,0.0,0.0
elpephants,193,1.0,0.0,0.0,0.0
elpephants,251,2.0,0.0,0.0,0.0
elpephants,264,3.0,0.0,0.0,0.0
elpephants,269,1.0,0.0,0.0,0.0
elpephants,276,4.0,0.0,0.0,0.0
elpephants,281,1.0,0.0,0.0,0.0
elpephants,284,1.0,0.0,0.0,0.0
elpephants,311,2.0,0.5,0.5,0.5
elpephants,314,1.0,0.0,0.0,0.0
elpephants,348,3.0,0.0,0.0,0.0
elpephants,373,5.0,0.0,0.0,0.0
elpephants,379,1.0,0.0,0.0,0.0
elpephants,386,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
elpephants,405,3.0,0.0,0.0,0.0
elpephants,415,1.0,0.0,0.0,0.0
elpephants,429,1.0,0.0,0.0,0.0
elpephants,435,2.0,0.0,0.0,0.0
elpephants,459,3.0,0.0,0.0,0.0
elpephants,492,1.0,0.0,0.0,0.0
elpephants,520,1.0,0.0,0.0,0.0
elpephants,565,3.0,0.0,0.0,0.0
elpephants,566,1.0,0.0,0.0,0.0
elpephants,567,1.0,0.0,0.0,0.0
elpephants,568,3.0,0.0,0.0,0.0
elpephants,569,4.0,0.0,0.0,0.0
elpephants,579,2.0,0.0,0.0,0.0
elpephants,611,1.0,0.0,0.0,0.0
elpephants,613,1.0,1.0,0.5,0.6666666666666666
elpephants,619,2.0,0.5,0.5,0.5
elpephants,629,2.0,0.0,0.0,0.0
elpephants,637,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
elpephants,638,2.0,0.0,0.0,0.0
elpephants,647,3.0,1.0,0.3,0.46153846153846156
elpephants,654,3.0,0.0,0.0,0.0
elpephants,669,2.0,0.0,0.0,0.0
elpephants,722,1.0,0.0,0.0,0.0
elpephants,736,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
elpephants,770,1.0,0.0,0.0,0.0
elpephants,773,1.0,0.0,0.0,0.0
elpephants,796,1.0,1.0,1.0,1.0
elpephants,818,2.0,0.0,0.0,0.0
elpephants,842,4.0,0.0,0.0,0.0
elpephants,843,2.0,0.5,1.0,0.6666666666666666
elpephants,866,2.0,0.0,0.0,0.0
elpephants,923,3.0,0.0,0.0,0.0
elpephants,951,3.0,0.3333333333333333,0.25,0.2857142857142857
elpephants,953,1.0,0.0,0.0,0.0
elpephants,977,3.0,0.3333333333333333,1.0,0.5
elpephants,992,3.0,0.0,0.0,0.0
elpephants,1002,2.0,0.0,0.0,0.0
elpephants,1009,2.0,0.0,0.0,0.0
elpephants,1017,2.0,0.0,0.0,0.0
elpephants,1019,1.0,1.0,0.25,0.4
elpephants,1035,1.0,0.0,0.0,0.0
elpephants,1051,1.0,0.0,0.0,0.0
elpephants,1074,1.0,0.0,0.0,0.0
elpephants,1075,1.0,0.0,0.0,0.0
elpephants,1076,1.0,0.0,0.0,0.0
elpephants,1084,1.0,1.0,1.0,1.0
elpephants,1086,1.0,0.0,0.0,0.0
elpephants,1100,1.0,0.0,0.0,0.0
elpephants,1123,2.0,0.0,0.0,0.0
elpephants,1127,2.0,0.5,1.0,0.6666666666666666
elpephants,1146,3.0,0.0,0.0,0.0
elpephants,1152,1.0,0.0,0.0,0.0
elpephants,1157,1.0,0.0,0.0,0.0
elpephants,1183,1.0,0.0,0.0,0.0
elpephants,1184,1.0,1.0,1.0,1.0
elpephants,1186,1.0,0.0,0.0,0.0
elpephants,1195,1.0,0.0,0.0,0.0
elpephants,1211,3.0,0.3333333333333333,0.5,0.4
elpephants,1214,3.0,0.6666666666666666,0.4,0.5
elpephants,1223,2.0,0.0,0.0,0.0
elpephants,1229,2.0,0.0,0.0,0.0
elpephants,1233,2.0,0.0,0.0,0.0
elpephants,1234,1.0,0.0,0.0,0.0
elpephants,1248,2.0,0.0,0.0,0.0
elpephants,1287,1.0,0.0,0.0,0.0
elpephants,1293,1.0,0.0,0.0,0.0
elpephants,1319,5.0,0.0,0.0,0.0
elpephants,1356,1.0,0.0,0.0,0.0
elpephants,1365,2.0,0.0,0.0,0.0
elpephants,1370,1.0,0.0,0.0,0.0
elpephants,1396,3.0,0.3333333333333333,0.16666666666666666,0.2222222222222222
elpephants,1411,3.0,0.6666666666666666,1.0,0.8
elpephants,1436,3.0,0.0,0.0,0.0
elpephants,1437,1.0,1.0,0.3333333333333333,0.5
elpephants,1439,1.0,1.0,1.0,1.0
elpephants,1450,1.0,0.0,0.0,0.0
